,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6
0,"('Bandwidth_GB_Year', 0.705188118075611)","('Outage_sec_perweek', 0.6438640820131858)","('Email', 0.6295397402140139)","('Age', 0.6736901177947274)","('Children', 0.5785903024699157)","('Age', 0.5266127736451583)"
1,"('Tenure', 0.7048374122889877)","('MonthlyCharge', 0.5964094298067665)","('Income', -0.5373915788657955)","('Children', 0.4583802288462578)","('Contacts', -0.4470734096121888)","('Yearly_equip_failure', -0.48970219809383503)"
2,"('Outage_sec_perweek', 0.04421536137466615)","('Yearly_equip_failure', 0.3637826567851996)","('Contacts', 0.4932237867913086)","('Yearly_equip_failure', 0.2879148127322091)","('Income', -0.42979173123144376)","('MonthlyCharge', 0.47186320618329336)"
3,"('Email', -0.04176037477465096)","('Children', 0.22632150439696608)","('Age', 0.18499585879760777)","('Income', 0.28790548436297503)","('Age', -0.29353773540383227)","('Contacts', -0.42413228361367794)"
4,"('Income', 0.034859629085573704)","('Income', 0.17436177670044037)","('Yearly_equip_failure', -0.13483032666753292)","('Outage_sec_perweek', -0.2479620512821839)","('Yearly_equip_failure', 0.28812242634805474)","('Income', -0.20262065999999257)"
5,"('Yearly_equip_failure', -0.02327423292896663)","('Email', 0.10881447360496273)","('Children', -0.09595066082079677)","('MonthlyCharge', -0.23495336562830693)","('Email', 0.23717129841322232)","('Email', -0.14189608904061551)"
6,"('Children', 0.020541250410605255)","('Age', 0.04516812644263157)","('MonthlyCharge', 0.08012355305808797)","('Contacts', 0.2255202995261777)","('Outage_sec_perweek', -0.23056177250928797)","('Outage_sec_perweek', -0.12415474536929576)"
7,"('Contacts', 0.005665003751250161)","('Tenure', -0.03595857237268452)","('Outage_sec_perweek', 0.04512666578389883)","('Email', 0.05024181674444678)","('Bandwidth_GB_Year', 0.038197625882555694)","('Children', 0.0600675122907425)"
8,"('MonthlyCharge', 0.0018436754623089163)","('Contacts', 0.024306366754390907)","('Tenure', 0.032137043190678775)","('Bandwidth_GB_Year', -0.010036634016870827)","('MonthlyCharge', -0.022877527350209488)","('Tenure', -0.010238700416707186)"
9,"('Age', 0.0008338143508584972)","('Bandwidth_GB_Year', -0.002999053584303829)","('Bandwidth_GB_Year', 0.022849491475587617)","('Tenure', 0.008487703163450622)","('Tenure', 0.008207666265147247)","('Bandwidth_GB_Year', 0.003270275569137754)"
