[-1.80550022  0.99204203]
[-0.92150351 -0.87094505]
[-2.0118304  -0.26653065]
[-1.2484053  -1.22153439]
[-1.04696704 -0.84264   ]
[-1.71204012 -1.66857028]
[-1.13266974  0.94349304]
[-1.56954572  4.30758489]
[-1.13257556 -0.52753656]
[-1.63076296  1.91536954]
[-1.66282931 -1.71411288]
[-1.79676733 -1.12430549]
[-1.06023896 -0.28817154]
[-1.34109021 -0.59089839]
[-1.6156505  -0.88421139]
[-1.47999806  3.02658425]
[-1.33412675 -0.63799613]
[-1.65869179  1.07796171]
[-1.58344769  0.69146426]
[-1.29790733  1.57213728]
[-1.43598926 -0.68229489]
[-1.63401862 -0.99009149]
[-1.04209213  0.63116371]
[-1.69036433 -0.51746011]
[-0.72578344 -0.97327227]
[-1.24310676  2.91253972]
[-1.15698903  0.24753697]
[-1.60284398 -0.68941287]
[-0.76853002  0.48741552]
[-1.6850934   0.22223675]
[-1.19704862 -0.06020599]
[-1.18530047  2.63302406]
[-1.56441707  0.32548969]
[-0.64116706  1.40807252]
[-0.73734716 -0.68094752]
[-1.57110121 -0.43404026]
[-1.81905682 -1.44249573]
[-1.35746081 -0.01885439]
[-1.66678827  1.03195046]
[-1.46483473 -0.39475566]
[-0.9228504   0.26227496]
[-1.86532391 -0.44902253]
[-0.75507977 -0.56515236]
[-1.58927804  0.91294413]
[-1.6866174  -0.35714124]
[-1.2897471   0.37056138]
[-1.02728286 -1.23017632]
[-1.09721525 -1.05075973]
[-0.22137247  0.54882238]
[-1.15783016 -0.74169694]
[-0.64794895  0.74529066]
[-1.18495128  1.0251401 ]
[-1.44739582  0.67693723]
[-1.8329141  -0.96858448]
[-1.74675025  0.61284199]
[-1.72833556  0.01488277]
[-1.51242118  5.17311081]
[-0.84208682  2.82781001]
[-1.25738024  0.30151487]
[-1.44466283  0.58091257]
[-0.99403602  2.19399504]
[-1.45708166 -0.15145949]
[-1.55975301 -0.21682795]
[-1.33354951 -1.29489519]
[-0.97494712 -0.08355525]
[-1.343619   -0.81206991]
[-1.63410595  1.14959947]
[-1.51545756  0.55334613]
[-1.55874524 -0.28330763]
[-0.65016742  4.87413407]
[-1.60406248  0.08529588]
[-0.55253413  0.46014496]
[-1.0557338  -1.04705582]
[-1.09079788 -0.49826136]
[-1.38035588 -0.06094702]
[-1.86548202 -0.30460012]
[-1.76653517  0.09280049]
[-1.56349793  0.31198884]
[-1.65391451 -1.25270597]
[-1.41585753  1.46588584]
[-1.27324431 -1.22963862]
[-1.29287693  0.89729637]
[-1.35577957  0.86267267]
[-1.30604102  2.5658633 ]
[-1.59725729 -1.37955336]
[-1.78827201 -0.38927293]
[-1.78690063  1.51944465]
[-1.72970369  0.26328068]
[-0.77928584  2.66627719]
[-0.22677974 -0.08106419]
[-1.66132576 -0.62672093]
[-0.95713859  0.32921939]
[-1.18734279 -0.96935482]
[-1.54988491  1.36790462]
[-0.83484018 -0.10280514]
[-1.34158965 -1.76473985]
[-1.31519187 -1.04327035]
[-1.38442501  0.04127084]
[-1.9432873  -0.62315541]
[-1.4592069  -0.30931815]
[-1.73760321 -1.02982353]
[-1.32250355  0.91034704]
[-0.40959376  0.11371836]
[-1.111215    0.54069417]
[-1.66620356  0.90361229]
[-1.90527683 -1.0209218 ]
[-1.31065398 -0.60795147]
[-1.36587577  0.88330064]
[-1.49065288  1.28356862]
[-0.98255885  0.17136042]
[-1.0967585  -0.98313591]
[-1.40540683 -0.90693227]
[-1.71881735 -0.21818009]
[-1.57921512 -0.03240025]
[-1.65696149  0.35671695]
[-1.21907667 -0.83533679]
[-1.43978581 -0.69560183]
[-1.40866349  0.30617215]
[-0.24615686 -0.48102596]
[-1.5886062  -1.28705888]
[-1.47512158  1.07693306]
[-1.12874112 -1.15420413]
[-0.98173426  0.9356162 ]
[-1.40780111 -0.4730999 ]
[-1.45639932 -0.87473334]
[-1.4054224  -0.63856786]
[-0.93807504 -1.00574215]
[-0.45922745 -0.14636625]
[-1.87411366  2.12897258]
[-1.31140503  0.46300933]
[-1.14141857 -0.16445549]
[-1.0791886   1.38331316]
[-1.76981219 -0.44005694]
[-1.08374794  0.55020982]
[-1.75303814 -0.45176603]
[-1.1808114  -1.23751529]
[-1.44227064  0.85080799]
[-1.61847502 -0.02815174]
[-1.39074555 -0.93964851]
[-1.55118179 -0.19898354]
[-1.5943939  -0.21673592]
[-1.99393436 -1.00499999]
[-1.27894627 -1.31039509]
[-1.55913748  2.10229618]
[-1.73452341 -0.28494091]
[-1.8036004  -0.72610121]
[-1.80012864 -0.33690761]
[-1.84665962 -1.25748892]
[-0.53558061 -0.20998775]
[-1.62187702  0.89490338]
[-1.71646747 -0.6024018 ]
[-1.47228347 -0.01014027]
[-1.60274071 -0.26009618]
[-1.4822244   0.80481058]
[-1.31564955  0.73711475]
[-1.51942334  0.67390605]
[-1.5549651   0.07424827]
[-1.50982052  1.504559  ]
[-1.51436811 -1.04393761]
[-1.36083114 -1.09503821]
[-1.46619066  0.162612  ]
[-1.81970112  0.5376875 ]
[-1.70312513 -0.28038505]
[-1.70960252 -0.41219069]
[-1.75419014  0.76349676]
[-1.64004504  1.65759008]
[-1.46820983 -0.50889747]
[-0.97904965 -0.61688419]
[-1.01184181 -0.61605257]
[-1.48609992 -0.18214148]
[-1.16735133  0.97718688]
[-1.08972569  0.09870582]
[-1.64421218  0.10772845]
[-1.10990802  0.50965114]
[-1.16276988 -0.00742607]
[-1.55863051  3.67158271]
[-1.75457086  0.51410767]
[-1.7116506  -1.09432444]
[-1.25181897  1.40938958]
[-1.20032028  0.06579119]
[-1.5506769  -1.39890737]
[-1.65902992 -0.89209803]
[-0.60029523  3.88402623]
[-1.25997045 -0.55832649]
[-1.71190108  0.7721247 ]
[-0.74787195  1.06367305]
[-1.40782925 -0.42648343]
[-1.00703695 -1.20283872]
[-1.31717851 -0.11135592]
[-1.24976098 -0.48383441]
[-1.79571749  0.27630871]
[-1.55813946 -1.06681655]
[-0.77594459 -1.28509585]
[-1.80771104 -0.36207316]
[-1.5481702  4.7014659]
[-1.02399     0.03619891]
[-0.79995472 -0.8366933 ]
[-1.54634081  0.31135174]
[-0.90611811 -0.62416441]
[-0.82889853 -0.53084791]
[-1.67823647 -1.00491318]
[-1.82625858  0.65030626]
[-1.27801752 -1.13840038]
[-1.27811748 -0.25945983]
[-1.58281749 -0.60313099]
[-1.51420035 -1.10035793]
[-1.45656061  0.28681379]
[-1.64754352  0.86340151]
[-1.68824693 -0.359405  ]
[-1.48620063  0.34852174]
[-1.12285434  0.22728141]
[-1.58495208  3.12521201]
[-1.04834097  0.22230766]
[-1.07607418  0.4857897 ]
[-1.06854683  1.00782555]
[-1.73067171  0.63180273]
[-1.42174115  0.41777157]
[-1.3041187  -0.49259389]
[-1.41607941 -1.11596213]
[-1.33737524  0.01997524]
[-1.14428966 -0.16118043]
[-1.46729148  2.15734783]
[-1.55254495 -0.61715028]
[-1.64583464  0.03922394]
[-1.21605426 -1.76178402]
[-1.26007858  1.29279712]
[-1.24046534  2.10311933]
[-1.52142286 -0.14693313]
[-0.98412794 -0.02411615]
[-1.3815805   0.53019679]
[-1.47237869 -0.60675913]
[-1.33844459 -0.11312404]
[-1.7867386  -0.96484679]
[-0.79648857 -0.99952986]
[-1.2533588   0.29696176]
[-1.09268946  0.49021227]
[-0.81340739 -0.39147333]
[-1.80816106  0.22950764]
[-1.32820276  0.18508835]
[-1.59502635  2.40110855]
[-0.54435677 -0.80467043]
[-1.06042956 -1.22123655]
[-1.41218285 -0.43688925]
[-1.25937276 -0.54546896]
[-1.92767057  0.05180475]
[-1.59677147 -0.79425869]
[-1.46880206  0.35953224]
[-0.9808208  -0.24371848]
[-1.59759839 -0.17207067]
[-1.56627575  0.03149148]
[-1.45710214  0.05121718]
[-1.50236341 -1.22140301]
[-1.79004308 -1.58732652]
[-1.63050021 -0.44050678]
[-1.12236938  1.18899727]
[-1.72507727 -0.63975603]
[-1.62685075  0.95663637]
